Timestamp,1. Internship hourly wage: [kn],2. Regular work hourly wage: [kn],Wage,Flexible work times,Ability to work from home,Being given hardware and peripherals ,"Free coffe, juice, fruits, snacks in general ",Paid/cheaper meals,Opportunity to progress and improve one's abilities,"Use technology as desired, if circumstances allow","The influence of the individual, the existence of a competent person who listens to your ideas and requirements.",Possibility to continue working after completing an internship,4. Unlisted features and services that you believe should have been present in the question above:,Location,Workspace,"6. Observed shortcomings, difficulties during the cooperation with previous employers:",7. Is there anything that seems far from reality to you and you think is feasible during an internship/regular work:
Timestamp,intern-hw,reg-hw,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,unmentioned,location,workspace,negatives,dreamy-goals
2020/09/22 8:27:52 PM EET,30,60,4,3,4,3,2,2,3,3,4,4,,Downtown,Own room,"Giving jobs that no one wants to a new employee. In my opinion, it has a bad effect on a person's morale and motivation if he faces an almost impossible problem right after employment.","Would  be cool to be able to bring pets to work,  although it might complicate the work environment?"
2020/09/22 8:40:59 PM EET,30,35,4,4,2,2,2,0,4,2,2,4,,Outskirts,Open area,,
2020/09/22 8:46:44 PM EET,32,40,4,4,3,4,3,3,4,3,4,3, I think the features listed are very good.,Downtown,Open area,No such experiences.,The possibility of having a team that would help new workers/students learn and grow within the company.
2020/09/22 8:48:58 PM EET,35,50,4,4,3,4,4,4,4,4,4,4,,Downtown,Open area,,
2020/09/22 9:02:28 PM EET,30,70,4,4,4,1,2,2,3,3,3,2,,Downtown,Own room,,
2020/09/22 9:08:12 PM EET,40,50,4,4,4,2,0,4,4,2,3,4,,Downtown,Open area,,
2020/09/22 11:54:10 PM EET,32,45,3,2,3,4,4,0,4,3,3,2,,Downtown,Own room,,
2020/09/23 12:12:35 AM EET,20,40,2,3,3,2,0,2,4,3,3,3,None.,Downtown,Own room,Lack of communication.,I don’t know.
2020/09/23 12:26:43 AM EET,25,40,3,4,3,4,0,1,4,4,2,2,,Downtown,Open area,Lack of mentor’s attention.,A bigger project.
2020/09/23 12:36:26 AM EET,32,40,3,3,2,2,2,3,3,3,3,4,,Downtown,Open area,,
2020/09/23 2:26:28 AM EET,35,50,4,3,4,2,0,3,3,4,3,3,,Outskirts,Open area,,
2020/09/23 8:40:02 AM EET,30,40,4,4,4,2,1,3,4,4,4,4,,Outskirts,Own room,,
2020/09/23 8:53:19 AM EET,32,40,4,4,4,4,1,2,4,3,3,2,I don’t understand,Downtown,Own room,No.,I dont understand?
2020/09/23 12:35:05 PM EET,28,30,3,4,3,2,3,3,4,4,4,4,,Downtown,Open area,"The employer monitors my work, but asks for corrections on the project when I'm done with it, although he could have told me about certain changes before.",
2020/09/23 2:39:29 PM EET,28,50,4,2,1,0,1,1,4,1,3,4,Materials about used technologies.,Outskirts,Own room,Lack of useful materials on the technologies used that we encounter for the first time.,
2020/09/23 4:52:05 PM EET,30,40,3,4,3,3,1,1,4,3,3,4,,Downtown,Open area,,
2020/09/23 5:08:28 PM EET,30,45,3,2,2,3,1,2,4,3,3,4,,Downtown,Open area,,
2020/09/23 5:11:30 PM EET,30,45,3,3,3,4,2,2,4,3,3,3,,Downtown,Open area,,
2020/09/23 5:53:55 PM EET,35,50,3,2,2,3,1,2,4,1,4,3,All is written.,Downtown,Open area,All was good.,Not really.
2020/09/23 6:12:37 PM EET,,,2,3,2,2,3,3,4,4,4,4,,Downtown,Open area,,
2020/09/24 12:04:00 PM EET,30,50,4,4,4,1,0,0,4,3,3,3,,Downtown,Open area,Unclear communication. Incomplete and poor quality documentation.,"Eliminate unnecessary communication, assign tasks using the same format and detailed execution conditions. (standardization)"
